 time            v(vout)         @l1[i]         
 2.32196424e-04  2.15062260e+02  3.21960246e+00 
 2.33196424e-04  2.15039382e+02  3.31960246e+00 
 2.34196424e-04  2.15016507e+02  3.41960246e+00 
 2.35196424e-04  2.14993634e+02  3.51960246e+00 
 2.36196424e-04  2.14970764e+02  3.61960246e+00 
 2.37196424e-04  2.14947896e+02  3.71960246e+00 
 2.38196424e-04  2.14925030e+02  3.81960246e+00 
 2.39196424e-04  2.14902167e+02  3.91960246e+00 
 2.40196424e-04  2.14879306e+02  4.01960246e+00 
 2.41196424e-04  2.14856448e+02  4.11960246e+00 
 2.42196424e-04  2.14833592e+02  4.21960246e+00 
 2.43196424e-04  2.14810739e+02  4.31960246e+00 
 2.44196424e-04  2.14787888e+02  4.41960246e+00 
 2.45196424e-04  2.14765039e+02  4.51960246e+00 
 2.46196424e-04  2.14742193e+02  4.61960246e+00 
 2.47196424e-04  2.14719349e+02  4.71960246e+00 
 2.48196424e-04  2.14696508e+02  4.81960246e+00 
 2.49098712e-04  2.14675901e+02  4.90983125e+00 
 2.50001000e-04  2.14655295e+02  5.00006005e+00 
 2.50001100e-04  2.14655293e+02  5.00007005e+00 
 2.50001300e-04  2.14655289e+02  5.00009005e+00 
 2.50001350e-04  2.14655287e+02  5.00009505e+00 
 2.50001438e-04  2.14655285e+02  5.00010380e+00 
 2.50001534e-04  2.14655288e+02  5.00010306e+00 
 2.50001728e-04  2.14655304e+02  5.00008070e+00 
 2.50002000e-04  2.14655327e+02  5.00004929e+00 
 2.50002039e-04  2.14655330e+02  5.00004481e+00 
 2.50002116e-04  2.14655337e+02  5.00003585e+00 
 2.50002271e-04  2.14655350e+02  5.00001795e+00 
 2.50002581e-04  2.14655376e+02  4.99998220e+00 
 2.50003201e-04  2.14655428e+02  4.99991073e+00 
 2.50004441e-04  2.14655531e+02  4.99976782e+00 
 2.50006921e-04  2.14655738e+02  4.99948201e+00 
 2.50011881e-04  2.14656153e+02  4.99891037e+00 
 2.50021801e-04  2.14656981e+02  4.99776719e+00 
 2.50041641e-04  2.14658637e+02  4.99548083e+00 
 2.50081321e-04  2.14661947e+02  4.99090812e+00 
 2.50160681e-04  2.14668554e+02  4.98176238e+00 
 2.50319401e-04  2.14681722e+02  4.96346947e+00 
 2.50636841e-04  2.14707871e+02  4.92687744e+00 
 2.51271721e-04  2.14759426e+02  4.85366897e+00 
 2.52271721e-04  2.14838617e+02  4.73829339e+00 
 2.53271721e-04  2.14915345e+02  4.62284048e+00 
 2.54271721e-04  2.14989607e+02  4.50731272e+00 
 2.55271721e-04  2.15061402e+02  4.39171260e+00 
 2.56271721e-04  2.15130730e+02  4.27604260e+00 
 2.57271721e-04  2.15197588e+02  4.16030520e+00 
 2.58271721e-04  2.15261977e+02  4.04450290e+00 
 2.59271721e-04  2.15323894e+02  3.92863819e+00 
 2.60271721e-04  2.15383339e+02  3.81271356e+00 
