 time            v(vout)         @l1[i]          v(ns1)         
 8.09264936e-05  3.26407331e+00  6.96149327e+00  1.45098763e+01 
 8.10032867e-05  3.26816874e+00  6.97078149e+00  1.62126264e+01 
 8.10725727e-05  3.27186891e+00  6.98008181e+00  1.71735653e+01 
 8.11610202e-05  3.27660029e+00  6.99287544e+00  1.83042206e+01 
 8.13059199e-05  3.28437278e+00  7.01571365e+00  1.97795251e+01 
 8.14261353e-05  3.29084261e+00  7.03561267e+00  1.99013078e+01 
 8.15343456e-05  3.29668350e+00  7.05359852e+00  1.99286380e+01 
 8.16497065e-05  3.30292832e+00  7.07279043e+00  1.99437716e+01 
 8.18804285e-05  3.31547357e+00  7.11118473e+00  1.99565071e+01 
 8.22804285e-05  3.33739851e+00  7.17772414e+00  1.99660714e+01 
 8.26804285e-05  3.35954542e+00  7.24420151e+00  1.99695568e+01 
 8.30804285e-05  3.38191357e+00  7.31060150e+00  1.99718959e+01 
 8.34804285e-05  3.40450219e+00  7.37691797e+00  1.99727544e+01 
 8.38804285e-05  3.42731051e+00  7.44314731e+00  1.99737300e+01 
 8.42804285e-05  3.45033773e+00  7.50928723e+00  1.99738762e+01 
 8.46804285e-05  3.47358306e+00  7.57533586e+00  1.99743616e+01 
 8.50804285e-05  3.49704568e+00  7.64129176e+00  1.99742166e+01 
 8.54804285e-05  3.52072480e+00  7.70715364e+00  1.99744935e+01 
 8.58804285e-05  3.54461961e+00  7.77292035e+00  1.99742086e+01 
 8.62804285e-05  3.56872928e+00  7.83859083e+00  1.99743790e+01 
 8.66804285e-05  3.59305301e+00  7.90416407e+00  1.99740206e+01 
 8.70804285e-05  3.61758997e+00  7.96963909e+00  1.99741332e+01 
 8.74804285e-05  3.64233935e+00  8.03501496e+00  1.99737343e+01 
 8.78804285e-05  3.66730032e+00  8.10029078e+00  1.99738145e+01 
 8.82804285e-05  3.69247206e+00  8.16546565e+00  1.99733927e+01 
 8.86804285e-05  3.71785374e+00  8.23053870e+00  1.99734544e+01 
 8.90804285e-05  3.74344454e+00  8.29550905e+00  1.99730197e+01 
 8.94804285e-05  3.76924362e+00  8.36037585e+00  1.99730707e+01 
 8.98804285e-05  3.79525016e+00  8.42513826e+00  1.99726287e+01 
 9.02804285e-05  3.82146331e+00  8.48979544e+00  1.99726738e+01 
